,VIN,Address,Date,Lat,Long,t2,VIN1,Address1,Date1,Lat1,Long1,t21
105,BNYB104,Green P-35 Erindale Ave(no double parking),2017-10-17 07:50:00,43.67732,-79.35747,2017-10-17 08:50:00,BNYB104,Impark-47 Richmond St E (dedicated spaces only),2017-10-17 09:25:00,43.65218,-79.37617,2017-10-17 09:25:00
106,BNYB104,Impark-47 Richmond St E (dedicated spaces only),2017-10-17 09:25:00,43.65218,-79.37617,2017-10-17 09:25:00,BNYB104,"Green P-31 Parliament St(surface lot, not garage)",2017-10-17 09:36:00,43.64955,-79.36169,2017-10-17 18:38:00
107,BNYB104,"Green P-31 Parliament St(surface lot, not garage)",2017-10-17 09:36:00,43.64955,-79.36169,2017-10-17 18:38:00,BNYB104,"211 Distillery Lane, Toronto, ON M5A 3C4",2017-10-17 11:55:00,43.65022,-79.35747,2017-10-17 12:51:00
108,BNYB104,"211 Distillery Lane, Toronto, ON M5A 3C4",2017-10-17 11:55:00,43.65022,-79.35747,2017-10-17 12:51:00,BNYB104,"355 Symington Ave, Toronto, ON M6P 3X1",2017-10-17 13:31:00,43.66676,-79.45132,2017-10-17 15:07:00
109,BNYB104,"355 Symington Ave, Toronto, ON M6P 3X1",2017-10-17 13:31:00,43.66676,-79.45132,2017-10-17 15:07:00,BNYB104,"890 Windermere Ave, York, ON M6S 3N1",2017-10-17 15:32:00,43.66468,-79.4856,2017-10-17 17:38:00
110,BNYB104,"890 Windermere Ave, York, ON M6S 3N1",2017-10-17 15:32:00,43.66468,-79.4856,2017-10-17 17:38:00,BNYB104,TargetPark-88 Isabella St (no double parking),2017-10-17 19:14:00,43.66878,-79.38136,2017-10-17 21:16:00
111,BNYB104,TargetPark-88 Isabella St (no double parking),2017-10-17 19:14:00,43.66878,-79.38136,2017-10-17 21:16:00,BNYB104,"382-384 Jones Ave, Toronto, ON M4J 3G3",2017-10-17 21:51:00,43.67381,-79.33761,2017-10-17 22:47:00
112,BNYB104,"382-384 Jones Ave, Toronto, ON M4J 3G3",2017-10-17 21:51:00,43.67381,-79.33761,2017-10-17 22:47:00,BNYB104,"771-775 Danforth Ave, Toronto, ON M4J",2017-10-17 22:52:00,43.67939,-79.34233,2017-10-17 23:57:00
114,BNYB105,"224-226 Ferris Rd, East York, ON M4B 1H4",2017-10-17 00:00:00,43.70506,-79.29843,2017-10-17 13:41:00,BNYB105,"122-124 Glencrest Blvd, East York, ON M4B 1L8",2017-10-17 14:52:00,43.70811,-79.29626,2017-10-17 23:57:00
116,BNYB106,"162 Markham St, Toronto, ON M6J 2G6",2017-10-17 00:00:00,43.65255,-79.40754,2017-10-17 07:40:00,BNYB106,Impark-47 Richmond St E (dedicated spaces only),2017-10-17 08:35:00,43.65218,-79.37617,2017-10-17 10:49:00
