,VIN,Address,Date,Lat,Long,t2,VIN1,Address1,Date1,Lat1,Long1,t21
85,BNYB091,Impark-47 Richmond St E (dedicated spaces only),2017-06-10 06:20:00,43.65218,-79.37617,2017-06-10 13:20:00,BNYB091,"69 Lynwood Ave, Toronto, ON M4V 1K5",2017-06-10 14:15:00,43.68484,-79.40442,2017-06-10 15:31:00
86,BNYB091,"69 Lynwood Ave, Toronto, ON M4V 1K5",2017-06-10 14:15:00,43.68484,-79.40442,2017-06-10 15:31:00,BNYB091,"1-3 Kent Rd, Toronto, ON M4L 2X5",2017-06-10 16:22:00,43.666000000000004,-79.32013,2017-06-10 17:07:00
88,BNYB092,"1117 Danforth Ave, Toronto, ON M4J 1M5",2017-05-10 21:21:00,43.681000000000004,-79.33408,2017-06-10 07:22:00,BNYB092,"230 Chatham Ave, Toronto, ON M4J 1K9",2017-06-10 07:32:00,43.68046,-79.33230999999999,2017-06-10 11:59:00
89,BNYB092,"230 Chatham Ave, Toronto, ON M4J 1K9",2017-06-10 07:32:00,43.68046,-79.33230999999999,2017-06-10 11:59:00,BNYB092,"137 Strathmore Blvd, Toronto, ON M4J 4Y9",2017-06-10 12:24:00,43.68182,-79.33463,2017-06-10 12:24:00
90,BNYB092,"137 Strathmore Blvd, Toronto, ON M4J 4Y9",2017-06-10 12:24:00,43.68182,-79.33463,2017-06-10 12:24:00,BNYB092,"32-34 Earl Haig Ave, Toronto, ON M4C 1E1",2017-06-10 12:40:00,43.68159,-79.321,2017-06-10 17:07:00
92,BNYB096,Four Points by Sheraton-American Drive ($7.50 fee),2017-05-10 21:21:00,43.690459999999995,-79.62055,2017-06-10 01:22:00,BNYB096,"45 Sousa Mendes St, Toronto, ON M6P 3P7",2017-06-10 02:08:00,43.66077,-79.4525,2017-06-10 12:04:00
93,BNYB096,"45 Sousa Mendes St, Toronto, ON M6P 3P7",2017-06-10 02:08:00,43.66077,-79.4525,2017-06-10 12:04:00,BNYB096,"584 Indian Grove, Toronto, ON M6P 2J4",2017-06-10 12:19:00,43.666470000000004,-79.46273000000001,2017-06-10 14:56:00
94,BNYB096,"584 Indian Grove, Toronto, ON M6P 2J4",2017-06-10 12:19:00,43.666470000000004,-79.46273000000001,2017-06-10 14:56:00,BNYB096,Where I Park-480 Adelaide St W(3 rsvd spaces),2017-06-10 15:31:00,43.645990000000005,-79.39985,2017-06-10 15:36:00
95,BNYB096,Where I Park-480 Adelaide St W(3 rsvd spaces),2017-06-10 15:31:00,43.645990000000005,-79.39985,2017-06-10 15:36:00,BNYB096,"24 Earnbridge St, Toronto, ON M6K 1N3",2017-06-10 16:02:00,43.64328,-79.4326,2017-06-10 17:07:00
98,BNYB105,"890 Dundas St W, Toronto, ON M6J 1W1",2017-05-10 21:21:00,43.65113,-79.41181,2017-05-10 21:21:00,BNYB105,"1873-1901 Danforth Ave, Toronto, ON M4C 1J4",2017-05-10 22:02:00,43.6848,-79.3167,2017-05-10 23:17:00
99,BNYB105,"1873-1901 Danforth Ave, Toronto, ON M4C 1J4",2017-05-10 22:02:00,43.6848,-79.3167,2017-05-10 23:17:00,BNYB105,"76 Madison Ave, Toronto, ON M5R 2S4",2017-05-10 23:42:00,43.670609999999996,-79.40416,2017-06-10 14:46:00
100,BNYB105,"76 Madison Ave, Toronto, ON M5R 2S4",2017-05-10 23:42:00,43.670609999999996,-79.40416,2017-06-10 14:46:00,BNYB105,"567-601 Rushton Rd, Toronto, ON M6C",2017-06-10 15:06:00,43.68923,-79.4307,2017-06-10 16:02:00
102,BNYB106,"18 Clarendon Ave, Toronto, ON M4V 1H9",2017-05-10 21:21:00,43.682990000000004,-79.40216,2017-05-10 22:02:00,BNYB106,Green P-37 Yorkville Ave (garage),2017-05-10 22:23:00,43.67129,-79.38933,2017-06-10 14:25:00
103,BNYB106,Green P-37 Yorkville Ave (garage),2017-05-10 22:23:00,43.67129,-79.38933,2017-06-10 14:25:00,BNYB106,"17-21 Braemar Ave, Toronto, ON M5P 2L1",2017-06-10 14:51:00,43.70004,-79.40805,2017-06-10 17:07:00
105,BNYB107,"102 Gates Ave, Toronto, ON M4C 1T3",2017-05-10 22:13:00,43.68926,-79.3042,2017-06-10 07:12:00,BNYB107,Impark-47 Richmond St E (dedicated spaces only),2017-06-10 07:47:00,43.65218,-79.37617,2017-06-10 12:04:00
106,BNYB107,Impark-47 Richmond St E (dedicated spaces only),2017-06-10 07:47:00,43.65218,-79.37617,2017-06-10 12:04:00,BNYB107,"113 Sarah Ashbridge Ave, Toronto, ON M4L 3Y1",2017-06-10 12:19:00,43.667590000000004,-79.30898,2017-06-10 13:20:00
107,BNYB107,"113 Sarah Ashbridge Ave, Toronto, ON M4L 3Y1",2017-06-10 12:19:00,43.667590000000004,-79.30898,2017-06-10 13:20:00,BNYB107,"78 Carlaw Ave, Toronto, ON M4M 2R7",2017-06-10 13:30:00,43.657509999999995,-79.3387,2017-06-10 13:50:00
108,BNYB107,"78 Carlaw Ave, Toronto, ON M4M 2R7",2017-06-10 13:30:00,43.657509999999995,-79.3387,2017-06-10 13:50:00,BNYB107,"2384 Bloor St W, Toronto, ON M6S 1P5",2017-06-10 14:46:00,43.65035,-79.48258,2017-06-10 15:52:00
109,BNYB107,"2384 Bloor St W, Toronto, ON M6S 1P5",2017-06-10 14:46:00,43.65035,-79.48258,2017-06-10 15:52:00,BNYB107,"38 Parkdale Rd, Toronto, ON M6R 1E2",2017-06-10 16:12:00,43.64144,-79.45152,2017-06-10 16:17:00
110,BNYB107,"38 Parkdale Rd, Toronto, ON M6R 1E2",2017-06-10 16:12:00,43.64144,-79.45152,2017-06-10 16:17:00,BNYB107,"92 Indian Grove, Toronto, ON M6R 2Y4",2017-06-10 16:32:00,43.65441,-79.4586,2017-06-10 17:07:00
112,BNYB108,"134 Medland St, Toronto, ON M6P 2N5",2017-05-10 21:21:00,43.662259999999996,-79.46555,2017-06-10 12:40:00,BNYB108,"232 Wright Ave, Toronto, ON M6R 1L3",2017-06-10 12:55:00,43.64505,-79.45069000000001,2017-06-10 14:20:00
113,BNYB108,"232 Wright Ave, Toronto, ON M6R 1L3",2017-06-10 12:55:00,43.64505,-79.45069000000001,2017-06-10 14:20:00,BNYB108,"720 College St, Toronto, ON M6G 1C3",2017-06-10 16:32:00,43.655559999999994,-79.41914,2017-06-10 16:57:00
115,BNYB112,Green P-800 Fleet St(No Double Parking),2017-05-10 23:27:00,43.63691,-79.40972,2017-06-10 07:37:00,BNYB112,Green P-25 Dundas St E(no double parking),2017-06-10 08:17:00,43.656000000000006,-79.37993,2017-06-10 11:14:00
117,BNYB113,"319 Margueretta St, Toronto, ON M6H 3S4",2017-05-10 21:21:00,43.65802,-79.43997,2017-05-10 21:21:00,BNYB113,"265 Roncesvalles Ave, Toronto, ON M6R 2L9",2017-05-10 22:07:00,43.64675,-79.44915,2017-06-10 01:33:00
118,BNYB113,"265 Roncesvalles Ave, Toronto, ON M6R 2L9",2017-05-10 22:07:00,43.64675,-79.44915,2017-06-10 01:33:00,BNYB113,"806 Bloor St W, Toronto, ON M6G 1L9",2017-06-10 01:58:00,43.662729999999996,-79.42254,2017-06-10 09:07:00
119,BNYB113,"806 Bloor St W, Toronto, ON M6G 1L9",2017-06-10 01:58:00,43.662729999999996,-79.42254,2017-06-10 09:07:00,BNYB113,"2 Atlantic Ave, Toronto, ON M6K 1X8",2017-06-10 09:43:00,43.63643,-79.4199,2017-06-10 09:58:00
120,BNYB113,"2 Atlantic Ave, Toronto, ON M6K 1X8",2017-06-10 09:43:00,43.63643,-79.4199,2017-06-10 09:58:00,BNYB113,"69 Lynn Williams St, Toronto, ON M6K 3R6",2017-06-10 10:03:00,43.63892,-79.41689000000001,2017-06-10 16:32:00
121,BNYB113,"69 Lynn Williams St, Toronto, ON M6K 3R6",2017-06-10 10:03:00,43.63892,-79.41689000000001,2017-06-10 16:32:00,BNYB113,"Don Valley Pkwy & Davies Ave & Thompson St, Toronto, ON M4M",2017-06-10 17:02:00,43.65919,-79.35374,2017-06-10 17:07:00
123,BNYB114,"1152 Greenwood Ave, Toronto, ON M4J 4E8",2017-05-10 21:21:00,43.69455,-79.33883,2017-06-10 06:20:00,BNYB114,Green P-323 Richmond St E(no double parking),2017-06-10 06:42:00,43.65315,-79.36865999999999,2017-06-10 10:08:00
124,BNYB114,Green P-323 Richmond St E(no double parking),2017-06-10 06:42:00,43.65315,-79.36865999999999,2017-06-10 10:08:00,BNYB114,"60-66 Bleecker St, Toronto, ON M4X",2017-06-10 10:23:00,43.664609999999996,-79.37275,2017-06-10 11:39:00
125,BNYB114,"60-66 Bleecker St, Toronto, ON M4X",2017-06-10 10:23:00,43.664609999999996,-79.37275,2017-06-10 11:39:00,BNYB114,Unit Park-73 The Esplanade(surface lot),2017-06-10 11:59:00,43.64703,-79.3733,2017-06-10 17:07:00
