FID,OID_,FID_,Lat,Long,Lat1,Long1,Shape_Leng,FID_1,VIN,Address,Date,DateD,DateH,Lat_1,Long_1,t2,t2D,t2H,VIN1,Address1,Date1,Date1D,Date1H,Lat1_1,Long1_1,t21,t21D,t21H
981,0,982,43.655909999999999,-79.463040000000007,43.655529999999999,-79.462840000000000,62.563160504999999,982,BNYB171,"66 Oakmount Rd, Toronto, ON M6P 2M4",10/17/2017 13:26,17,13,43.655909999999999,-79.463040000000007,10/17/2017 14:02,17,14,BNYB171,"29 Oakmount Rd, Toronto, ON M6P 2M3",10/17/2017 14:17,17,14,43.655529999999999,-79.462840000000000,10/17/2017 18:59,17,18
982,0,983,43.655529999999999,-79.462840000000000,43.654179999999997,-79.463020000000000,208.675334988000000,983,BNYB171,"29 Oakmount Rd, Toronto, ON M6P 2M3",10/17/2017 14:17,17,14,43.655529999999999,-79.462840000000000,10/17/2017 18:59,17,18,BNYB171,"1830 Bloor St W, Old Toronto, ON M6P 0A2",10/17/2017 19:09,17,19,43.654179999999997,-79.463020000000000,10/17/2017 23:57,17,23
983,0,984,43.666300000000000,-79.333619999999996,43.688760000000002,-79.425330000000002,10778.534976000001000,984,BNYB174,"1442-1444 Dundas St E, Toronto, ON M4M 1S8",10/17/2017 0:00,17,0,43.666300000000000,-79.333619999999996,10/17/2017 0:20,17,0,BNYB174,"4 Connaught Cir, York, ON M6C 2S7",10/17/2017 0:46,17,0,43.688760000000002,-79.425330000000002,10/17/2017 14:32,17,14
984,0,985,43.688760000000002,-79.425330000000002,43.686839999999997,-79.411799999999999,1534.881004460000000,985,BNYB174,"4 Connaught Cir, York, ON M6C 2S7",10/17/2017 0:46,17,0,43.688760000000002,-79.425330000000002,10/17/2017 14:32,17,14,BNYB174,"214 Heath St W, Toronto, ON M4V 1V5",10/17/2017 14:42,17,14,43.686839999999997,-79.411799999999999,10/17/2017 16:02,17,16
985,0,986,43.686839999999997,-79.411799999999999,43.689610000000002,-79.412750000000003,439.347064677999980,986,BNYB174,"214 Heath St W, Toronto, ON M4V 1V5",10/17/2017 14:42,17,14,43.686839999999997,-79.411799999999999,10/17/2017 16:02,17,16,BNYB174,"453 Spadina Rd, Toronto, ON M5P 1N5",10/17/2017 17:18,17,17,43.689610000000002,-79.412750000000003,10/17/2017 18:59,17,18
986,0,987,43.689610000000002,-79.412750000000003,43.689570000000003,-79.412729999999996,6.548079902750000,987,BNYB174,"453 Spadina Rd, Toronto, ON M5P 1N5",10/17/2017 17:18,17,17,43.689610000000002,-79.412750000000003,10/17/2017 18:59,17,18,BNYB174,"2 Thelma Ave, Toronto, ON M4V 1X9",10/17/2017 19:39,17,19,43.689570000000003,-79.412729999999996,10/17/2017 23:57,17,23
987,0,988,43.644460000000002,-79.398129999999995,43.651209999999999,-79.435310000000001,4267.141500849999800,988,BNYB178,Targetpark-539 King St W (1 Spot),10/17/2017 0:00,17,0,43.644460000000002,-79.398129999999995,10/17/2017 16:53,17,16,BNYB178,"62-64 Moutray St, Toronto, ON M6K 1W5",10/17/2017 17:23,17,17,43.651209999999999,-79.435310000000001,10/17/2017 23:32,17,23
988,0,989,43.651209999999999,-79.435310000000001,43.650109999999998,-79.438109999999995,354.674128423000010,989,BNYB178,"62-64 Moutray St, Toronto, ON M6K 1W5",10/17/2017 17:23,17,17,43.651209999999999,-79.435310000000001,10/17/2017 23:32,17,23,BNYB178,"1680-1688 Dundas St W, Toronto, ON M6K 1V3",10/17/2017 23:37,17,23,43.650109999999998,-79.438109999999995,10/17/2017 23:57,17,23
989,0,990,43.686900000000001,-79.342070000000007,43.696480000000001,-79.349350000000001,1682.867088089999900,990,BNYB179,"238 Dewhurst Blvd N, East York, ON M4J 3K5",10/17/2017 0:00,17,0,43.686900000000001,-79.342070000000007,10/17/2017 0:10,17,0,BNYB179,"66 Rivercourt Blvd, East York, ON M4J 3A4",10/17/2017 0:35,17,0,43.696480000000001,-79.349350000000001,10/17/2017 7:09,17,7
990,0,991,43.696480000000001,-79.349350000000001,43.687950000000001,-79.356979999999993,1563.980279310000000,991,BNYB179,"66 Rivercourt Blvd, East York, ON M4J 3A4",10/17/2017 0:35,17,0,43.696480000000001,-79.349350000000001,10/17/2017 7:09,17,7,BNYB179,"50-56 Hillside Dr, East York, ON M4K 2M2",10/17/2017 8:10,17,8,43.687950000000001,-79.356979999999993,10/17/2017 23:57,17,23
